,LC_top,LC_bottom,s_since_start
250,135949010000.0,97541830000.0,666.6666666666666
251,135850885000.0,97441270000.0,669.3333333333333
252,135834450000.0,97348670000.0,672.0
253,135790666000.0,97329710000.0,674.6666666666666
254,135691040000.0,97215300000.0,677.3333333333333
255,135574080000.0,97079740000.0,680.0
256,135331275000.0,96931955000.0,682.6666666666666
257,135450160000.0,97008070000.0,685.3333333333333
258,135497380000.0,96980150000.0,688.0
259,135786560000.0,97171005000.0,690.6666666666666
260,135907066000.0,97236810000.0,693.3333333333333
261,135904010000.0,97190890000.0,696.0
262,135853070000.0,97160330000.0,698.6666666666666
263,135803280000.0,97090110000.0,701.3333333333333
264,135749984000.0,97025425000.0,704.0
265,135635830000.0,96944470000.0,706.6666666666666
266,135658210000.0,96941590000.0,709.3333333333333
267,135662060000.0,96886540000.0,712.0
268,135699370000.0,96847730000.0,714.6666666666666
269,135689230000.0,96818635000.0,717.3333333333333
270,135616160000.0,96669320000.0,720.0
271,135598970000.0,96619770000.0,722.6666666666666
272,135607310000.0,96564930000.0,725.3333333333333
273,135610360000.0,96502180000.0,728.0
274,135618180000.0,96480060000.0,730.6666666666666
275,135571554000.0,96409190000.0,733.3333333333333
276,135457340000.0,96322910000.0,736.0
277,135458636000.0,96288874000.0,738.6666666666666
278,135490250000.0,96240720000.0,741.3333333333333
279,135515570000.0,96217440000.0,744.0
280,135291260000.0,96051520000.0,746.6666666666666
281,135248340000.0,95942960000.0,749.3333333333333
282,135227700000.0,95882230000.0,752.0
283,134635410000.0,95482630000.0,754.6666666666666
284,133186940000.0,94244320000.0,757.3333333333333
285,132983320000.0,94141000000.0,760.0
286,132761450000.0,94052190000.0,762.6666666666666
287,131618540000.0,93237950000.0,765.3333333333333
288,131281750000.0,92983610000.0,768.0
289,131126550000.0,92841460000.0,770.6666666666666
290,130921570000.0,92667410000.0,773.3333333333333
291,130865520000.0,92661500000.0,776.0
292,129893835000.0,92105744000.0,778.6666666666666
293,129826100000.0,91890280000.0,781.3333333333333
294,129382000000.0,91612510000.0,784.0
295,130700170000.0,92185166000.0,786.6666666666666
296,123976940000.0,92319680000.0,789.3333333333333
297,123175600000.0,91992830000.0,792.0
298,125525780000.0,92031280000.0,794.6666666666666
299,130909920000.0,91345170000.0,797.3333333333333
300,131492580000.0,91828510000.0,800.0
301,132226500000.0,92779905000.0,802.6666666666666
302,133253070000.0,94545330000.0,805.3333333333333
303,133414540000.0,94493210000.0,808.0
304,133265270000.0,94652810000.0,810.6666666666666
305,132513110000.0,94328005000.0,813.3333333333333
306,132471320000.0,94253560000.0,816.0
307,132362220000.0,94220470000.0,818.6666666666666
308,132817320000.0,94432980000.0,821.3333333333333
309,132993150000.0,94449270000.0,824.0
310,132093790000.0,94013960000.0,826.6666666666666
311,132510910000.0,94146820000.0,829.3333333333333
312,132698800000.0,94202780000.0,832.0
313,132659030000.0,94154680000.0,834.6666666666666
314,133042586000.0,94213270000.0,837.3333333333333
315,132869230000.0,94020870000.0,840.0
316,132288770000.0,93709230000.0,842.6666666666666
317,132298430000.0,93699070000.0,845.3333333333333
318,132876190000.0,93946510000.0,848.0
319,133246116000.0,94031580000.0,850.6666666666666
320,133284900000.0,93981245000.0,853.3333333333333
321,132981875000.0,93784480000.0,856.0
322,133082200000.0,93775120000.0,858.6666666666666
323,133161620000.0,93775810000.0,861.3333333333333
324,133339110000.0,93759060000.0,864.0
325,133394000000.0,93737040000.0,866.6666666666666
326,133280910000.0,93643650000.0,869.3333333333333
327,133205010000.0,93579100000.0,872.0
328,133262500000.0,93564540000.0,874.6666666666666
329,132915730000.0,93345956000.0,877.3333333333333
330,132900730000.0,93381030000.0,880.0
331,133132220000.0,93410050000.0,882.6666666666666
332,133165370000.0,93414980000.0,885.3333333333333
333,133131534000.0,93401830000.0,888.0
334,133079785000.0,93305455000.0,890.6666666666666
335,132803215000.0,93157340000.0,893.3333333333333
336,132512550000.0,93027970000.0,896.0
337,132526875000.0,92988600000.0,898.6666666666666
338,132560520000.0,92977510000.0,901.3333333333333
339,132560200000.0,92935890000.0,904.0
340,132220670000.0,92740970000.0,906.6666666666666
341,132315710000.0,92749530000.0,909.3333333333333
342,132413610000.0,92764060000.0,912.0
343,132329560000.0,92711440000.0,914.6666666666666
344,132475570000.0,92739470000.0,917.3333333333333
345,132426430000.0,92645260000.0,920.0
346,132453286000.0,92645530000.0,922.6666666666666
347,132167790000.0,92474070000.0,925.3333333333333
348,132018190000.0,92337950000.0,928.0
349,131790780000.0,92219660000.0,930.6666666666666
350,132198244000.0,92324580000.0,933.3333333333333
351,131962600000.0,92188850000.0,936.0
352,131700270000.0,92077920000.0,938.6666666666666
353,131787500000.0,92040050000.0,941.3333333333333
354,131672910000.0,91965776000.0,944.0
355,132038410000.0,92075060000.0,946.6666666666666
356,132264770000.0,92148190000.0,949.3333333333333
357,132269600000.0,92103760000.0,952.0
358,132218680000.0,92037250000.0,954.6666666666666
359,132212710000.0,91983045000.0,957.3333333333333
360,132327540000.0,92086120000.0,960.0
361,132342130000.0,92020300000.0,962.6666666666666
362,132098564000.0,91867636000.0,965.3333333333333
363,131867800000.0,91741045000.0,968.0
364,131835810000.0,91732540000.0,970.6666666666666
365,132105670000.0,91765060000.0,973.3333333333333
366,131614670000.0,91526510000.0,976.0
367,131698220000.0,91546860000.0,978.6666666666666
368,132212785000.0,91703620000.0,981.3333333333333
369,132284285000.0,91670440000.0,984.0
370,132043825000.0,91551515000.0,986.6666666666666
371,132235680000.0,91626240000.0,989.3333333333333
372,132015800000.0,91431980000.0,992.0
373,132227270000.0,91506210000.0,994.6666666666666
374,132031640000.0,91353770000.0,997.3333333333333
375,132065590000.0,91338875000.0,1000.0
376,131966250000.0,91257080000.0,1002.6666666666666
377,132132050000.0,91338710000.0,1005.3333333333333
378,131846890000.0,91131260000.0,1008.0
379,131818730000.0,91093040000.0,1010.6666666666666
380,131811990000.0,91085660000.0,1013.3333333333333
381,131779660000.0,91024720000.0,1016.0
382,131798250000.0,90979150000.0,1018.6666666666666
383,131496930000.0,90890580000.0,1021.3333333333333
384,131515260000.0,90834035000.0,1024.0
385,131866950000.0,90946440000.0,1026.6666666666665
386,131974300000.0,90957130000.0,1029.3333333333333
387,132070210000.0,90968540000.0,1032.0
388,132199590000.0,91053015000.0,1034.6666666666665
389,132119740000.0,90992330000.0,1037.3333333333333
390,132105120000.0,90956330000.0,1040.0
391,132249390000.0,91057185000.0,1042.6666666666665
392,132459520000.0,91123016000.0,1045.3333333333333
393,132016310000.0,90880340000.0,1048.0
394,132085735000.0,90906790000.0,1050.6666666666665
395,131748750000.0,90728860000.0,1053.3333333333333
396,131813876000.0,90772920000.0,1056.0
397,131778630000.0,90732710000.0,1058.6666666666665
398,131734360000.0,90773270000.0,1061.3333333333333
399,131912040000.0,90814660000.0,1064.0
400,131854344000.0,90761370000.0,1066.6666666666665
